Explainer,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero,run_id,comprehensiveness,sufficiency,Model,special_token_rate,decision_boundary_no_special,precision_no_special,recall_no_special,f1_no_special,auprc_no_special,average_number_of_predicted_tokens_no_special,evidence_span_token_recall_no_special,evidence_span_recall_no_special,precision@1_no_special,recall@1_no_special,precision@5_no_special,recall@5_no_special,precision@10_no_special,recall@10_no_special,precision@50_no_special,recall@50_no_special,precision@100_no_special,recall@100_no_special,iou_no_special,kl_divergence_no_special,ground_truth_special_token_rate
$a x \nabla x$,all,0.047,42.85714285714267,46.77187948350049,44.72901897960594,41.18209122675416,1.5358361774744,389.419795221843,64.59112180917248,79.13822525520567,59.89761092150171,16.786226685796272,34.709897610921495,48.63701578192252,22.26962457337884,62.4103299856528,6.24232081911262,87.4701099952176,3.3310580204778097,93.35246293639408,0.2473330788297797,1.962480922861933,49.306824581167156,0.0,r5u1sr8h,88.37290586642935,24.45299333582747,B$_{\text{Sup}}$,2.9010238907849826,4.7,42.29776247848519,47.0109995217597,44.530011324529504,40.32655249379732,396.5870307167235,64.83353014031621,79.47952218352991,60.068259385665534,16.83405069344811,34.7098976109215,48.63701578192253,22.167235494880547,62.12338593974175,5.996587030716723,84.02678144428502,3.174061433447099,88.95265423242468,49.105225630836784,241.22477989829534,5.834528933524629
$a$,all,0.039,40.80851063829769,45.86322333811551,43.18847106457694,38.61656806839723,13.99317406143344,401.02389078498294,62.80348656805006,72.86689419724887,56.655290102389074,15.877570540411279,32.93515358361775,46.15016738402678,21.16040955631399,59.30176948828312,5.856655290102379,82.06599713055954,3.15699658703071,88.47441415590626,0.4939685156163991,2.1756629498205164,47.48232503139853,0.0,o7yrj2y0,84.49859239855101,30.13468591771748,B$_{\text{Sup}}$,9.62457337883959,3.9,40.023990403838305,47.871831659492834,43.597560975113545,39.21114398321022,426.79180887372013,64.98165846250778,75.48350398107007,56.8259385665529,15.925394548063126,33.34470989761092,46.72405547584887,21.399317406143346,59.9713055954089,5.7952218430034135,81.2051649928264,3.061433447098976,85.79626972740316,47.5472164020057,253.62897763841823,5.834528933524629
$x \nabla x$,all,0.018,28.32182039821199,33.33333333333317,30.62390158122549,21.89966556948653,6.6552901023890705,419.9658703071672,47.4689102608583,62.827076222370856,41.12627986348123,11.52558584409373,25.35836177474402,35.53323768531803,17.25255972696245,48.35007173601148,5.44709897610921,76.3271162123386,3.04778156996587,85.41367766618842,0.7350306727168681,3.431610950207419,29.492977151255488,0.0,o7yrj2y0,76.52874797857014,18.63721448476199,B$_{\text{Sup}}$,6.723549488054608,1.7999999999999998,25.968483256730053,37.82879005260622,30.796184543025046,22.422704944222925,519.7952218430034,52.80443579900109,68.57224118249705,41.979522184300336,11.76470588235294,26.075085324232084,36.5375418460067,17.559726962457336,49.21090387374462,5.334470989761092,74.74892395982783,2.95221843003413,82.73553323768532,30.165091221378184,377.0509170592263,5.834528933524629
$a x \nabla x$,all,0.04,40.688259109311566,48.0631276901002,44.069283051465554,39.58642799066748,1.5358361774744,421.50170648464166,66.18107338204686,80.01990898670999,55.631399317406135,15.59062649450024,33.5494880546075,47.01099952175992,21.97952218430034,61.597321855571494,6.08873720136518,85.31802965088474,3.26109215017064,91.39167862266858,0.2604309810092617,2.0567271446855977,45.85003289686822,0.0,o7yrj2y0,87.24408169130766,22.8128773847633,B$_{\text{Sup}}$,6.245733788395904,4.0,40.62998405103652,48.732663797225975,44.31398129978659,38.76570400021211,427.9863481228669,66.71340794168368,80.53185437919633,55.631399317406135,15.59062649450024,33.7542662116041,47.29794356767097,22.15017064846416,62.075561932089904,5.935153583617748,83.1659493065519,3.13481228668942,87.85270205643234,45.70420645835644,250.80323090873043,5.834528933524629
$a$,all,0.047,45.64994882292709,42.659014825442156,44.10383189072408,38.74959516381039,14.67576791808873,333.4470989761092,59.971519284301976,71.81456200158499,55.631399317406135,15.59062649450024,33.37883959044369,46.77187948350071,21.501706484641637,60.258249641319935,5.798634812286689,81.25298900047824,3.0989761092150103,86.84839789574367,0.4947433901369247,2.1997846890444896,48.9668219631591,0.0,m0ic7gf5,83.6430314916261,26.455409176111477,B$_{\text{Sup}}$,10.034129692832765,4.7,44.36586515794416,45.00239120038238,44.68186134802784,39.519904267880996,361.94539249146754,62.715323379020745,75.22753128482901,55.972696245733786,15.686274509803921,34.027303754266214,47.6805356288857,22.03071672354949,61.74079387852702,5.737201365187714,80.3921568627451,3.039249146757679,85.17455762792922,49.1781554631425,254.43076737551814,5.834528933524629
$x \nabla x$,all,0.018,31.070143884891948,33.04638928742213,32.02780996473787,24.1841439863768,7.67918088737201,379.5221843003413,46.76371410131835,63.452787257632714,45.39249146757679,12.721186035389758,26.10921501706484,36.58536585365853,18.10580204778157,50.74127211860354,5.50853242320819,77.18794835007174,3.06313993174061,85.844093735055,0.7440352586614934,3.385649552969028,33.38048158584096,0.0,m0ic7gf5,74.6720801707205,14.42572369855025,B$_{\text{Sup}}$,3.6177474402730376,1.7999999999999998,27.410992049775224,37.92443806790991,31.821829855050538,24.278163152549325,493.6860068259386,51.94730586978385,67.88964732585028,46.075085324232084,12.91248206599713,26.518771331058023,37.15925394548063,18.361774744027304,51.45863223338115,5.385665529010239,75.46628407460545,2.976109215017065,83.4050693448111,34.10333642688078,372.89416984803955,5.834528933524629
$a x \nabla x$,all,0.046,42.37658366098714,46.389287422285754,44.292237442423186,40.2789999400823,0.68259385665529,390.6143344709898,63.87953474396586,78.6262798627236,57.33788395904437,16.06886657101865,34.26621160409556,48.01530368244859,22.252559726962453,62.36250597800096,6.03071672354948,84.50502152080345,3.20819112627986,89.9091343854615,0.252954389383574,2.082457757206108,47.98748743314393,0.0,m0ic7gf5,86.80998642097009,20.26761475143548,B$_{\text{Sup}}$,3.856655290102389,4.6,42.357512953367696,46.91535150645601,44.52008168772438,39.34081927361754,395.22184300341297,64.32389792723563,78.96757679104783,57.508532423208194,16.116690578670493,34.36860068259386,48.15877570540411,22.18430034129693,62.17120994739359,5.877133105802048,82.35294117647058,3.1006825938566553,86.89622190339551,47.569798084956645,252.65793779674505,5.834528933524629
$a$,all,0.045,41.814780168381475,42.75466284074585,42.279498698956,36.22762099803028,14.334470989761089,364.8464163822525,60.264801324598885,72.6393629117024,54.09556313993175,15.160210425633668,31.262798634812288,43.80679100908656,20.170648464163822,56.52797704447633,5.5494880546075,77.76183644189383,3.06143344709897,85.79626972740316,0.4837925172740609,2.255488975657961,43.56696306011424,0.0,oezus167,78.3776824908856,60.46940024146603,B$_{\text{Sup}}$,15.392491467576791,4.5,41.46877748460844,45.09803921568606,43.20733104188327,37.94231200415663,388.05460750853246,62.83223768041869,76.13765642702707,54.60750853242321,15.303682448589193,31.97952218430034,44.81109516977523,21.07508532423208,59.062649450023905,5.624573378839591,78.81396461023434,3.0204778156996586,84.64849354375896,44.658703198218305,257.4370589669604,5.834528933524629
$x \nabla x$,all,0.018,31.59692570452591,35.389765662362336,33.38596886934128,27.075819532808037,6.99658703071672,399.6587030716724,50.446211922019735,66.70932878206123,47.098976109215016,13.199426111908169,27.47440273037542,38.49832615973219,18.48122866894198,51.79340028694405,5.5358361774744,77.57054041128647,3.06313993174061,85.844093735055,0.7358854149945941,3.3132725684277844,32.24569071619105,0.0,oezus167,74.86371950325385,36.060361044199766,B$_{\text{Sup}}$,3.242320819112628,1.7999999999999998,27.969475779694662,40.315638450501964,33.026444661612196,26.61772253531597,514.334470989761,55.83218402724764,72.38339021545475,47.95221843003413,13.438546150167385,27.781569965870307,38.92874222859876,18.600682593856654,52.12816834050693,5.399317406143345,75.65758010521282,2.964163822525597,83.0703012912482,32.78187375332507,366.80547996952646,5.834528933524629
$a x \nabla x$,all,0.032,37.6363636363635,49.49784791965543,42.75976037959585,38.77125366929437,0.51194539249146,469.28327645051195,67.03628448683891,80.87315130752397,55.11945392491467,15.44715447154471,33.13993174061433,46.43711142993783,21.501706484641637,60.258249641319935,5.90443686006825,82.73553323768532,3.25597269624573,91.24820659971306,0.2556387004269324,2.098083800419599,44.38080437051975,0.0,oezus167,83.7449933043203,48.34021044192295,B$_{\text{Sup}}$,6.96245733788396,3.2,37.976060935799644,50.07173601147752,43.19306930643996,38.11065883725235,470.4778156996587,67.39182982318566,81.0864618877278,55.11945392491467,15.447154471544716,33.37883959044369,46.77187948350072,21.552901023890787,60.40172166427546,5.839590443686006,81.82687709230034,3.143344709897611,88.09182209469154,44.61030282463911,254.4505828919568,5.834528933524629
